TASK ID -> TASK CATEGORY (ALL STATS, NO THRESHOLD):

multiple-choice-qa (431 datasets):
  question-answering: 276 (64.04%) | reverse: 2.66%
  multiple-choice: 191 (44.32%) | reverse: 24.65%
  text-retrieval: 113 (26.22%) | reverse: 3.93%
  text-classification: 100 (23.20%) | reverse: 0.86%
  text-generation: 99 (22.97%) | reverse: 0.60%
  zero-shot-classification: 67 (15.55%) | reverse: 8.17%
  table-question-answering: 63 (14.62%) | reverse: 5.77%
  tabular-classification: 62 (14.39%) | reverse: 3.51%
  visual-question-answering: 28 (6.50%) | reverse: 1.88%
  other: 10 (2.32%) | reverse: 0.94%
  token-classification: 5 (1.16%) | reverse: 0.21%
  summarization: 4 (0.93%) | reverse: 0.14%
  text-ranking: 4 (0.93%) | reverse: 2.09%
  image-classification: 3 (0.70%) | reverse: 0.10%
  time-series-forecasting: 3 (0.70%) | reverse: 0.47%
  document-question-answering: 2 (0.46%) | reverse: 1.27%
  image-to-text: 2 (0.46%) | reverse: 0.08%
  sentence-similarity: 2 (0.46%) | reverse: 0.22%
  image-segmentation: 1 (0.23%) | reverse: 0.09%
  object-detection: 1 (0.23%) | reverse: 0.07%
  reinforcement-learning: 1 (0.23%) | reverse: 0.21%
  table-to-text: 1 (0.23%) | reverse: 1.20%
  tabular-to-text: 1 (0.23%) | reverse: 1.56%
  translation: 1 (0.23%) | reverse: 0.03%

semantic-similarity-scoring (142 datasets):
  text-classification: 86 (60.56%) | reverse: 0.74%
  sentence-similarity: 56 (39.44%) | reverse: 6.05%
  question-answering: 14 (9.86%) | reverse: 0.14%
  text-retrieval: 14 (9.86%) | reverse: 0.49%
  feature-extraction: 8 (5.63%) | reverse: 0.41%
  token-classification: 5 (3.52%) | reverse: 0.21%
  fill-mask: 4 (2.82%) | reverse: 0.48%
  text-generation: 4 (2.82%) | reverse: 0.02%
  translation: 4 (2.82%) | reverse: 0.10%
  summarization: 3 (2.11%) | reverse: 0.11%
  multiple-choice: 2 (1.41%) | reverse: 0.26%
  other: 2 (1.41%) | reverse: 0.19%

fact-checking (76 datasets):
  text-classification: 58 (76.32%) | reverse: 0.50%
  text-retrieval: 16 (21.05%) | reverse: 0.56%
  question-answering: 8 (10.53%) | reverse: 0.08%
  text-generation: 7 (9.21%) | reverse: 0.04%
  multiple-choice: 4 (5.26%) | reverse: 0.52%
  zero-shot-classification: 4 (5.26%) | reverse: 0.49%
  token-classification: 3 (3.95%) | reverse: 0.12%
  other: 2 (2.63%) | reverse: 0.19%
  sentence-similarity: 2 (2.63%) | reverse: 0.22%
  fill-mask: 1 (1.32%) | reverse: 0.12%

parsing (69 datasets):
  token-classification: 36 (52.17%) | reverse: 1.49%
  question-answering: 24 (34.78%) | reverse: 0.23%
  text-generation: 24 (34.78%) | reverse: 0.15%
  text-classification: 22 (31.88%) | reverse: 0.19%
  fill-mask: 10 (14.49%) | reverse: 1.19%
  audio-to-audio: 6 (8.70%) | reverse: 1.93%
  image-to-image: 6 (8.70%) | reverse: 0.77%
  summarization: 6 (8.70%) | reverse: 0.21%
  text-to-audio: 6 (8.70%) | reverse: 2.49%
  text-to-image: 6 (8.70%) | reverse: 0.11%
  translation: 5 (7.25%) | reverse: 0.13%
  sentence-similarity: 4 (5.80%) | reverse: 0.43%
  other: 2 (2.90%) | reverse: 0.19%
  text-retrieval: 2 (2.90%) | reverse: 0.07%
  multiple-choice: 1 (1.45%) | reverse: 0.13%
  text-to-speech: 1 (1.45%) | reverse: 0.10%

dialogue-generation (55 datasets):
  text-generation: 25 (45.45%) | reverse: 0.15%
  question-answering: 13 (23.64%) | reverse: 0.13%
  text-classification: 10 (18.18%) | reverse: 0.09%
  fill-mask: 3 (5.45%) | reverse: 0.36%
  other: 3 (5.45%) | reverse: 0.28%
  text-retrieval: 3 (5.45%) | reverse: 0.10%
  summarization: 2 (3.64%) | reverse: 0.07%
  feature-extraction: 1 (1.82%) | reverse: 0.05%
  reinforcement-learning: 1 (1.82%) | reverse: 0.21%
  table-question-answering: 1 (1.82%) | reverse: 0.09%
  translation: 1 (1.82%) | reverse: 0.03%
  visual-question-answering: 1 (1.82%) | reverse: 0.07%

text-simplification (46 datasets):
  summarization: 14 (30.43%) | reverse: 0.50%
  text-generation: 12 (26.09%) | reverse: 0.07%
  text-classification: 8 (17.39%) | reverse: 0.07%
  text-retrieval: 7 (15.22%) | reverse: 0.24%
  question-answering: 4 (8.70%) | reverse: 0.04%
  token-classification: 3 (6.52%) | reverse: 0.12%
  translation: 3 (6.52%) | reverse: 0.08%
  other: 2 (4.35%) | reverse: 0.19%
  table-to-text: 2 (4.35%) | reverse: 2.41%
  fill-mask: 1 (2.17%) | reverse: 0.12%
  table-question-answering: 1 (2.17%) | reverse: 0.09%
  tabular-to-text: 1 (2.17%) | reverse: 1.56%

instance-segmentation (43 datasets):
  image-segmentation: 34 (79.07%) | reverse: 3.09%
  object-detection: 23 (53.49%) | reverse: 1.54%
  image-classification: 4 (9.30%) | reverse: 0.13%
  token-classification: 4 (9.30%) | reverse: 0.17%
  depth-estimation: 2 (4.65%) | reverse: 1.59%
  other: 2 (4.65%) | reverse: 0.19%
  image-text-to-text: 1 (2.33%) | reverse: 0.20%
  image-to-image: 1 (2.33%) | reverse: 0.13%
  robotics: 1 (2.33%) | reverse: 0.00%
  video-classification: 1 (2.33%) | reverse: 0.19%

abstractive-qa (35 datasets):
  question-answering: 24 (68.57%) | reverse: 0.23%
  text-generation: 11 (31.43%) | reverse: 0.07%
